Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,age,workclass,fnlwgt,education,marital-status,occupation,relationship,race,gender,capital-gain,capital-loss,hours-per-week,native-country,income
399,27358,45756,41,4,123207,15,2,10,0,4,1,-4,1,40,39,1
8463,2587,36962,26,5,312422,11,4,10,5,4,0,-14,1,55,39,0
33651,12374,33285,52,0,273139,11,5,4,0,4,1,-26,0,40,0,0
22734,16120,35039,79,4,48593,11,2,8,4,4,0,7248,0,40,39,0
32987,36852,17376,32,4,262785,2,5,1,2,4,1,-4,1,40,39,0
33767,22589,25600,74,4,74989,8,4,8,3,4,0,4227,2192,19,22,0
33040,46716,26595,52,4,119183,15,4,4,0,4,1,-3,-1,40,39,1
27993,16688,4218,28,5,179074,11,4,10,4,4,0,-29,1,40,39,0
13196,46063,14536,22,4,121655,11,4,1,4,4,0,-46,-1,40,39,1
33617,16351,966,27,4,156950,1,6,3,2,4,1,5,0,40,39,0
23026,46639,10488,28,4,149080,15,4,12,3,0,0,3,0,40,26,1
13812,6936,41620,18,8,162332,9,4,7,0,2,1,-25,-1,40,39,0
13205,6330,40125,29,4,39424,1,4,12,3,4,1,-6,0,34,39,0
44963,36868,36623,45,7,176843,11,6,1,1,4,0,-8,1,20,1,1
2406,19591,39348,21,4,110288,11,2,11,0,4,1,14,-1,40,39,0
13582,27563,30842,60,6,82320,2,2,4,0,4,1,-1,0,40,39,1
17948,46399,39846,25,6,89103,12,0,4,0,4,1,-20,0,40,39,0
33605,22958,35399,20,4,71247,8,2,8,0,4,1,-3,1,21,1,0
4807,37240,23907,44,4,291461,11,2,10,0,1,0,-32,2,40,22,0
9192,21253,30223,25,4,312774,9,4,8,2,4,1,-3,-1,40,1,0
39662,37911,29478,25,0,25253,7,2,1,1,4,1,6,1,40,39,0
22107,43224,10674,41,2,123606,11,4,7,4,4,1,-15,0,40,39,0
3791,41490,12374,28,4,138019,15,4,4,0,4,1,-17,-1,40,39,1
23622,36658,26010,40,4,956585,9,2,12,1,4,1,-13,1,40,39,0
39055,37249,10109,24,4,398662,11,4,5,0,4,0,2,0,45,39,0
38551,26471,22606,43,4,103544,11,5,12,0,4,0,-6,1659,40,39,0
39227,35902,36476,24,4,177849,15,4,3,3,4,1,-28,1784,52,39,0
29322,6413,22316,48,3,114219,15,4,12,0,4,0,4304,0,7,39,0
559,35854,36865,56,4,81429,15,0,7,3,4,1,6,0,40,39,0
29002,25607,39075,31,4,154116,11,4,6,0,4,0,-64,1,40,39,0
4035,21311,46576,22,7,279453,15,5,10,3,0,1,-35,1,38,39,0
14090,43639,8570,48,4,185063,15,0,1,2,4,0,-15,0,40,39,0
28983,21798,735,45,6,347787,11,5,4,1,4,0,-13,0,40,1,0
18,31628,7951,32,6,120082,11,2,10,0,4,0,-1,0,53,39,0
13534,38109,24073,42,4,279657,8,4,4,1,1,1,3613,0,20,39,0
39131,16835,4102,40,4,204564,12,2,1,1,4,1,11,-1,40,39,0
8038,11158,12563,27,0,25937,9,2,8,0,4,0,14,-1,52,39,0
28055,16271,34103,29,4,96871,5,2,14,1,4,1,98074,-1,40,1,0
13447,42513,45004,41,4,305536,9,2,6,0,4,1,-26,0,36,39,0
13224,16841,1956,71,4,152821,11,2,1,0,4,0,4188,2,40,39,1
17580,4601,7773,25,4,155897,15,4,7,1,4,0,2,0,40,0,0
290,46953,48319,39,4,175672,1,2,8,0,4,1,-23,0,45,36,0
28271,43150,48573,36,4,250301,11,2,8,1,4,1,3,1991,60,39,1
28600,16405,1459,48,4,155150,12,5,8,3,4,0,-12,0,18,39,0
28555,15942,6941,91,4,412628,9,2,6,3,2,1,-37,2,18,31,0
27749,35697,14381,49,4,201587,9,4,4,3,4,1,-8,0,54,39,1
45077,11249,46258,49,2,18148,11,2,12,3,4,1,2541,0,49,1,0
33790,26552,23234,30,4,274402,9,4,10,0,4,1,-23,0,50,39,1
22658,21602,4743,39,6,253190,9,0,14,0,4,1,-1,0,12,8,0
24257,17831,31573,27,1,163975,15,2,8,1,4,1,11,1,40,39,0
32557,29605,5617,19,4,166742,15,4,1,1,4,1,-11,1,40,39,0
3964,22978,33412,23,2,32371,11,5,4,0,4,1,-7,0,45,9,0
2914,30460,10999,33,4,114179,15,2,12,0,1,0,-14,1823,45,39,0
45226,1577,47252,31,4,154603,11,0,14,3,4,1,-12,1,40,39,0
18385,31446,11030,32,4,252989,11,0,4,3,4,0,-50,0,37,39,1
17973,5648,18745,29,4,115110,11,0,7,3,4,1,-21,0,45,39,0
28635,6964,38276,49,4,418036,8,4,3,0,4,1,-14,2193,34,39,0
40145,46916,46187,31,6,262729,1,2,13,3,4,1,-26,2,48,22,0
22569,30616,45845,49,4,323958,11,4,8,0,4,0,7,1,82,39,0
18803,16346,2611,25,4,73794,1,4,3,5,2,1,3,0,40,39,0
3623,11461,8546,15,2,160198,15,0,1,0,2,1,-17,-1,18,39,0
45350,22438,12015,41,4,127117,9,2,3,1,2,1,-15,0,40,39,0
23080,22618,5261,23,4,169436,15,4,3,0,4,0,-11,0,39,39,0
8556,36774,47014,42,4,295199,11,0,12,0,4,0,-14,0,40,39,0
33237,11388,9436,35,4,168793,9,2,6,0,4,0,-5,1,51,39,0
45062,12003,2720,46,4,243657,1,4,4,0,4,1,-34,1,40,35,0
8490,12982,30018,36,4,247647,11,2,0,1,4,0,-27,0,40,39,0
8277,21105,39940,38,6,237177,11,2,7,1,4,0,-2,0,32,39,0
26926,21074,44946,14,4,160782,9,2,12,0,4,1,3,0,33,39,1
9118,11435,41843,25,0,216753,11,2,7,0,4,0,7252,1884,4,39,0
44873,6525,3490,34,4,35712,11,4,10,2,4,1,4051,0,67,39,0
28394,2203,46324,58,4,146933,9,2,3,1,4,1,14295,0,49,39,0
39298,32290,44829,41,4,49993,11,4,12,0,2,1,-21,1,50,39,0
39032,7668,9253,51,4,185224,7,4,10,0,4,1,-20,0,40,39,1
17995,7234,41353,33,4,345827,1,2,0,0,4,1,-44,0,40,39,0
45077,35897,4531,29,4,69981,15,2,12,4,4,0,10,0,40,39,0
13074,31587,25087,25,0,116251,15,2,10,0,4,0,-40,0,48,39,0
23690,26455,6608,16,0,379994,4,2,1,0,4,0,96375,0,40,26,0
39706,41578,48166,48,4,302904,9,2,3,3,4,1,-11,1,50,39,0
39011,38192,47789,55,4,275035,11,2,10,0,4,1,-20,2,40,39,1
9320,20767,21962,65,5,186600,11,2,8,0,4,1,99094,1,45,39,0
27907,18021,30419,29,2,169492,15,4,12,1,4,1,2297,1,27,39,0
12337,7474,28457,62,4,197224,9,4,1,0,2,0,-25,0,52,39,0
27617,41952,13770,27,4,214295,9,2,12,5,4,1,-2,1,45,39,0
39619,12271,28893,36,4,283370,11,0,13,2,0,1,99837,1,50,39,0
39697,36706,7495,83,2,169013,11,4,3,1,4,0,-37,0,17,39,1
33413,17401,1413,34,6,149932,11,4,3,1,4,1,-15,0,54,39,0
13068,26516,37335,31,4,189928,11,4,10,3,4,1,-38,1,40,39,0
12626,16447,7474,40,7,415003,6,2,8,0,4,0,9,0,40,39,0
39009,5694,24837,15,0,187473,15,2,10,3,2,0,12,1,45,39,1
23390,27368,24966,50,5,218368,1,4,4,0,4,1,14,-1,11,1,0
3747,32299,26084,29,0,153817,15,2,12,4,4,1,-6,0,51,39,0
14235,15920,39595,58,4,230690,9,2,1,3,4,0,-11,0,40,39,0
39797,5490,14707,32,4,135330,9,2,4,0,4,0,3,0,40,39,0
44877,11509,20683,15,7,144261,9,2,4,0,4,1,-27,1,40,39,1
8962,21053,9849,23,6,145719,12,2,3,1,4,1,7092,1,40,39,0
5,47024,35242,66,4,248043,15,2,5,1,4,1,-17,-1,53,39,0
780,41836,8102,46,1,43815,5,4,13,4,4,1,-51,0,20,8,0
9022,41842,3658,24,2,115074,11,4,3,0,1,1,7415,-1,31,39,1
8414,17218,15372,22,6,737049,11,0,1,1,2,1,-11,1,60,39,0
