Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,age,workclass,fnlwgt,education,marital-status,occupation,relationship,race,gender,capital-gain,capital-loss,hours-per-week,native-country,income
0,0,0,25,4,226802,1,4,7,3,2,1,0,0,40,39,0
1,1,1,38,4,89814,11,2,5,0,4,1,0,0,50,39,0
2,2,2,28,2,336951,7,2,11,0,4,1,0,0,40,39,1
3,3,3,44,4,160323,15,2,7,0,2,1,7688,0,40,39,1
4,4,4,18,0,103497,15,4,0,3,4,0,0,0,30,39,0
5,5,5,34,4,198693,0,4,8,1,4,1,0,0,30,39,0
6,6,6,29,0,227026,11,4,0,4,2,1,0,0,40,39,0
7,7,7,63,6,104626,14,2,10,0,4,1,3103,0,32,39,1
8,8,8,24,4,369667,15,4,8,4,4,0,0,0,40,39,0
9,9,9,55,4,104996,5,2,3,0,4,1,0,0,10,39,0
10,10,10,65,4,184454,11,2,7,0,4,1,6418,0,40,39,1
11,11,11,36,1,212465,9,2,1,0,4,1,0,0,40,39,0
12,12,12,26,4,82091,11,4,1,1,4,0,0,0,39,39,0
13,13,13,58,0,299831,11,2,0,0,4,1,0,0,35,39,0
14,14,14,48,4,279724,11,2,7,0,4,1,3103,0,48,39,1
15,15,15,43,4,346189,12,2,4,0,4,1,0,0,50,39,1
16,16,16,20,7,444554,15,4,8,3,4,1,0,0,25,39,0
17,17,17,43,4,128354,11,2,1,5,4,0,0,0,30,39,0
18,18,18,37,4,60548,11,6,7,4,4,0,0,0,20,39,0
19,19,19,40,4,85019,10,2,10,0,1,1,0,0,45,0,1
20,20,20,34,4,107914,9,2,13,0,4,1,0,0,47,39,1
21,21,21,34,4,238588,15,4,8,3,2,0,0,0,35,39,0
22,22,22,72,0,132015,5,0,0,1,4,0,0,0,6,39,0
23,23,23,25,4,220931,9,4,10,1,4,1,0,0,43,29,0
24,24,24,25,4,205947,9,2,10,0,4,1,0,0,40,39,0
25,25,25,45,6,432824,11,2,3,0,4,1,7298,0,90,39,1
26,26,26,22,4,236427,11,4,1,3,4,1,0,0,20,39,0
27,27,27,23,4,134446,11,5,7,4,2,1,0,0,54,39,0
28,28,28,54,4,99516,11,2,3,0,4,1,0,0,35,39,0
29,29,29,32,6,109282,15,4,10,1,4,1,0,0,60,39,0
30,30,30,46,7,106444,15,2,4,0,2,1,7688,0,38,39,1
31,31,31,56,6,186651,1,6,8,4,4,0,0,0,50,39,0
32,32,32,24,6,188274,9,4,12,1,4,1,0,0,50,39,0
33,33,33,23,2,258120,15,2,11,0,4,1,0,0,40,39,0
34,34,34,26,4,43311,11,0,4,4,4,0,0,0,40,39,0
35,35,35,65,0,191846,11,2,0,0,4,1,0,0,40,39,0
36,36,36,36,2,403681,9,2,10,0,4,1,0,0,40,39,1
37,37,37,22,4,248446,4,4,9,1,4,1,0,0,50,13,0
38,38,38,17,4,269430,0,4,7,1,4,1,0,0,40,39,0
39,39,39,20,4,257509,11,4,3,3,4,1,0,0,40,39,0
40,40,40,65,4,136384,12,2,10,0,4,1,0,0,50,39,1
41,41,41,44,5,120277,8,2,12,0,4,1,0,0,45,39,1
42,42,42,36,4,465326,11,2,5,0,4,1,0,0,40,39,0
43,43,43,29,4,103634,1,2,8,0,4,1,0,0,40,39,0
44,44,44,20,7,138371,15,4,5,3,4,1,0,0,32,39,0
45,45,45,28,4,242832,8,2,10,5,4,0,0,0,36,39,1
46,46,46,39,4,290208,5,2,3,0,4,1,0,0,40,26,0
47,47,47,54,4,186272,15,2,14,0,4,1,3908,0,50,39,0
48,48,48,52,4,201062,1,5,9,1,2,0,0,0,18,39,0
49,49,49,56,5,131916,11,6,4,1,4,0,0,0,50,39,0
50,50,50,18,4,54440,15,4,8,3,4,1,0,0,20,39,0
51,51,51,39,4,280215,11,0,6,3,2,1,0,0,40,39,0
52,52,52,21,4,214399,15,4,8,3,4,0,0,1721,24,39,0
53,53,53,22,4,54164,11,4,8,1,4,1,14084,0,60,39,1
54,54,54,38,4,219446,6,3,4,1,4,1,0,0,54,26,0
55,55,55,21,4,110677,15,4,1,3,4,0,0,0,40,39,0
56,56,56,63,4,145985,11,2,3,0,4,1,0,0,40,39,0
57,57,57,34,2,382078,9,2,4,0,4,1,3103,0,50,39,1
58,58,58,42,5,170721,11,2,4,0,4,1,5178,0,50,39,1
59,59,59,33,4,269705,11,2,6,0,4,1,0,0,40,39,0
